REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2017,40,15438,227,113,2.20236,1.4704,0.73196
National,X,2017,41,16440,245,95,2.06813,1.49027,0.577859
National,X,2017,42,17638,278,110,2.1998,1.57614,0.623653
National,X,2017,43,17816,332,130,2.59317,1.86349,0.729681
National,X,2017,44,19973,503,223,3.63491,2.5184,1.11651
National,X,2017,45,21168,681,242,4.36036,3.21712,1.14324
National,X,2017,46,23571,933,312,5.28191,3.95825,1.32366
National,X,2017,47,23210,1318,332,7.109,5.67859,1.43042
National,X,2017,48,26524,1508,412,7.23873,5.68542,1.55331
National,X,2017,49,27786,2176,511,9.67034,7.83128,1.83906
National,X,2017,50,34676,4416,794,15.0248,12.735,2.28977
National,X,2017,51,46043,8733,1633,22.5137,18.9671,3.54668
National,X,2017,52,53071,11390,1996,25.2228,21.4618,3.761
National,X,2018,1,58641,12180,2369,24.8103,20.7705,4.03984
National,X,2018,2,64708,14106,3003,26.4403,21.7995,4.64085
National,X,2018,3,63110,13373,3478,26.701,21.19,5.51101
National,X,2018,4,75399,15165,4946,26.6728,20.113,6.55977
National,X,2018,5,75137,13546,6061,26.095,18.0284,8.0666
National,X,2018,6,64312,10837,6203,26.4958,16.8507,9.64517
