word	count
said	2495
new	912
one	911
mr	767
people	741
shooting	738
police	732
gun	704
would	688
two	661
first	658
please	654
year	639
times	629
school	626
york	559
like	548
also	536
state	514
time	512
points	510
game	471
last	459
officers	406
trump	393
must	392
three	391
could	390
back	380
four	378
shot	377
email	376
newsletter	375
get	375
high	370
view	368
second	363
man	360
subscribe	358
made	355
march	354
team	352
address	347
percent	345
youre	340
years	338
going	338
old	336
black	336
enter	333
