word	count
shooting	24244
co	17443
https	16389
b	9500
potus	4954
backfiretrump	4883
stop	3069
today	2881
bshooting	2870
something	2656
please	2610
fatal	2593
life	2557
took	2545
suffering	2524
bloodshed	2512
american	2439
school	2292
gun	1800
like	1772
people	1683
florida	1635
youtube	1438
amp	1273
shot	1227
police	1225
one	1173
hero	1159
mass	1111
missouri	1092
sheriff	1086
get	954
nhttps	946
parkland	927
superintendent	915
time	912
would	900
blames	897
man	869
video	839
guns	827
bi	754
know	703
us	699
via	676
see	649
think	607
game	601
back	596
good	596
