PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.27028,1.279,3841,2491,X,4558,1071,872,12833,2216,1003363
National,X,2017,41,1.30782,1.3304,4116,2685,X,4458,1075,950,13284,2243,998498
National,X,2017,42,1.34527,1.40897,4411,2820,X,5004,1142,976,14353,2263,1018686
National,X,2017,43,1.52157,1.57129,5007,2923,X,5527,1324,1051,15832,2260,1007582
National,X,2017,44,1.75021,1.70147,5217,3299,X,6121,1365,1062,17064,2216,1002899
National,X,2017,45,1.88776,1.85511,6094,3584,X,6628,1514,1114,18934,2275,1020638
National,X,2017,46,2.05917,2.06105,6852,4216,X,7532,1787,1360,21747,2284,1055142
National,X,2017,47,2.28919,2.32264,6907,3815,X,5858,1688,1421,19689,2259,847699
National,X,2017,48,2.28542,2.24064,6986,5225,X,7417,2206,1827,23661,2260,1055995
National,X,2017,49,2.59075,2.48141,7194,5008,X,8420,2318,1839,24779,2252,998587
National,X,2017,50,3.3675,3.19255,8267,6633,X,11210,2940,2320,31370,2243,982600
National,X,2017,51,4.76975,4.42553,10381,9793,X,14056,4563,3711,42504,2178,960427
National,X,2017,52,5.69039,5.40531,11182,11360,X,11371,5628,4992,44533,2097,823875
National,X,2018,1,5.7804,5.35003,9341,13324,X,11623,6829,5836,46953,2198,877621
National,X,2018,2,5.96478,5.53408,9976,15344,X,17213,7730,6059,56322,2205,1017731
National,X,2018,3,6.53929,6.32547,11795,15897,X,21408,7497,5495,62092,2229,981618
National,X,2018,4,7.1566,7.01709,13075,18118,X,29753,8814,5982,75742,2203,1079394
National,X,2018,5,7.45206,7.82776,14418,18571,X,35615,8589,5817,83010,2129,1060456
National,X,2018,6,7.51091,7.99898,14024,18107,X,34952,7955,5474,80512,1957,1006528
