""	10
"\u00e1frica"	1
"\u00e9douard"	1
"aamaq"	1
"aaron"	13
"aau"	1
"aaugh"	1
"aback"	1
"abandon"	7
"abandoned"	6
"abaporu"	1
"abbasi"	11
"abbe"	1
"abbey"	1
"abc"	6
"abdel"	1
"abdelhak"	1
"abdeslam"	3
"abdul"	3
"abdullah"	2
"abdur"	1
"abe"	1
"aberration"	1
"abetted"	1
"abetting"	8
"abhorrent"	1
"abide"	2
"abiding"	3
"abigail"	4
"abigailthis"	1
"abilene"	1
"abilities"	2
"ability"	31
"able"	86
"abloh"	2
"abm"	2
"aboard"	3
"abolished"	2
"abomination"	1
"abortion"	7
"abortions"	2
"abound"	1
"aboveground"	1
"abraham"	3
"abrasive"	1
"abreu"	1
"abroad"	19
"abrogates"	1
"abruptly"	3
"absence"	13
"absent"	1
"absentees"	1
"absentia"	6
"absolute"	6
"absolutely"	14
"absorb"	1
"absorbed"	2
"abstract"	3
"abstractions"	1
"absurd"	1
"abundance"	1
"abundant"	5
"abusaleh"	1
"abuse"	22
"abused"	21
"abuser"	1
"abusers"	4
"abuses"	3
"abusing"	6
"abusive"	2
"abutting"	1
"academia"	1
"academic"	5
"academics"	4
"academies"	1
"academy"	13
"acari"	1
"acc"	3
"acceded"	1
"accelerate"	1
"accelerated"	1
"accelerating"	1
"accent"	4
"accents"	2
"accept"	14
"acceptable"	3
"acceptance"	6
"acceptances"	1
"accepted"	22
"accepting"	5
"access"	36
"accessed"	1
"accessible"	3
"accessing"	1
"accident"	13
"accidental"	2
"accidentally"	1
"accidents"	3
"accius"	1
"acclimatized"	1
"accolades"	2
"accommodate"	2
"accommodating"	1
"accompanied"	4
"accompanying"	1
"accomplice"	3
"accomplices"	1
"accomplish"	2
"accomplished"	4
"accomplishment"	4
"accomplishments"	2
"accord"	11
"accordance"	3
"according"	134
"accordingly"	2
"accordionist"	1
"accordionists"	1
"accords"	1
"account"	29
"accountability"	11
"accountable"	12
"accountant"	2
"accounted"	5
"accounting"	1
"accounts"	17
"accrual"	1
"accruing"	1
"accumulation"	1
"accuracy"	5
"accurate"	11
"accurately"	1
"accusations"	10
"accuse"	2
"accused"	70
"accuser"	1
"accuses"	1
"accusing"	10
"accustomed"	4
"ace"	2
"achen"	1
"achieve"	7
"achieved"	6
"achievement"	4
"achievements"	6
"achieves"	1
"achilles"	1
"acid"	1
"acids"	1
"acknowledge"	6
"acknowledged"	12
"acknowledgement"	1
"acknowledging"	1
"acknowledgment"	1
"aclu"	1
"acpt"	1
"acquaintance"	1
"acquainted"	1
"acquiescing"	1
"acquire"	2
"acquired"	4
"acquiring"	1
"acquisition"	5
"acquisitions"	2
"acquit"	2
"acquittal"	2
"acquitted"	13
"acquitting"	1
"acre"	1
"acres"	3
"acrimony"	1
"acrobatic"	1
"acronym"	2
"across"	139
"acrostic"	1
"acrylamide"	1
"acsh"	1
"act"	71
"acted"	7
"acting"	6
"action"	56
"actions"	39
"activated"	1
"active"	22
"actively"	3
"activism"	22
"activist"	27
"activists"	54
"activities"	20
"activity"	8
"actor"	20
"actors"	18
"actress"	20
"acts"	16
"actual"	14
"actually"	63
"acute"	2
"acutely"	2
"ad"	10
"adam"	20
"adamant"	1
"adamantly"	1
"adams"	10
"adaptation"	3
"adaptations"	1
"adapted"	1
"adapts"	1
"add"	16
"added"	140
"addict"	1
"addicted"	3
"addiction"	1
"adding"	36
"addition"	16
"additional"	23
"additionally"	1
"address"	347
"addressed"	12
"addresses"	3
"addressing"	4
"adds"	3
"adelaide"	2
"adept"	4
"adhere"	1
"adheres"	1
"adieh"	1
"adios"	2
"adjacent"	1
"adjectives"	1
"adjourned"	1
"adjust"	2
"adjusted"	5
"adjustments"	1
"adm"	3
"admen"	2
"administered"	1
"administration"	66
"administrations"	2
"administrative"	17
"administrators"	5
"admirably"	1
"admiral"	1
"admiration"	2
"admire"	2
"admired"	3
"admirers"	1
"admiring"	1
"admission"	5
"admissions"	3
"admit"	10
"admits"	4
"admitted"	15
"admitting"	3
"admonition"	1
"adobe"	3
"adolescence"	1
"adolescent"	6
"adolescents"	2
"adopt"	3
"adopted"	15
"adopting"	2
"adoption"	2
"adoptive"	2
"adoration"	1
"adore"	1
"adored"	1
"adorn"	1
"adorned"	3
"adrenaline"	2
"adrian"	2
"adrift"	2
"ads"	19
"adult"	11
"adulterated"	1
"adulthood"	3
"adults"	27
"advance"	26
"advanced"	17
"advances"	4
"advancing"	2
"advantage"	41
"advantaged"	1
"advantages"	2
"adventure"	2
"adventures"	1
"adventuring"	1
"adventurous"	2
"adversarial"	1
"adverse"	1
"adversity"	2
"advertising"	17
"advice"	22
"advise"	1
"advised"	5
"adviser"	34
"advisers"	16
"advises"	1
"advisory"	3
"advocacy"	13
"advocate"	10
"advocated"	10
